event_id,depth_source,depth_km,depth_status,used_in_calculation
85,waveform,15.0,valid,True
85,isc_ehb,,missing,False
85,global_cmt,,missing_sentinel,False
96,waveform,11.0,valid,True
96,isc_ehb,10.0,valid,True
96,global_cmt,,missing_sentinel,False
106,waveform,14.0,valid,True
106,isc_ehb,,missing,False
106,global_cmt,,missing_sentinel,False
159,waveform,16.0,valid,True
159,isc_ehb,14.0,valid,True
159,global_cmt,,missing_sentinel,False
184,waveform,10.0,valid,True
184,isc_ehb,22.0,valid,True
184,global_cmt,,missing_sentinel,False
200,waveform,12.0,valid,True
200,isc_ehb,24.0,valid,True
200,global_cmt,,missing_sentinel,False
237,waveform,4.0,valid,True
237,isc_ehb,6.0,valid,True
237,global_cmt,,missing_sentinel,False
260,waveform,5.0,valid,True
260,isc_ehb,9.0,valid,True
260,global_cmt,,missing_sentinel,False
265,waveform,8.0,valid,True
265,isc_ehb,10.0,valid,True
265,global_cmt,,missing_sentinel,False
266,waveform,10.0,valid,True
266,isc_ehb,10.0,valid,True
266,global_cmt,,missing_sentinel,False
267,waveform,3.0,valid,True
267,isc_ehb,1.0,valid,True
267,global_cmt,,missing_sentinel,False
302,waveform,8.0,valid,True
302,isc_ehb,17.0,valid,True
302,global_cmt,,missing_sentinel,False
305,waveform,8.0,valid,True
305,isc_ehb,0.0,invalid_nonpositive,False
305,global_cmt,,missing_sentinel,False
306,waveform,10.0,valid,True
306,isc_ehb,17.0,valid,True
306,global_cmt,,missing_sentinel,False
334,waveform,12.0,valid,True
334,isc_ehb,25.0,valid,True
334,global_cmt,,missing_sentinel,False
335,waveform,9.0,valid,True
335,isc_ehb,5.0,valid,True
335,global_cmt,,missing_sentinel,False
337,waveform,7.0,valid,True
337,isc_ehb,14.0,valid,True
337,global_cmt,,missing_sentinel,False
455,waveform,15.0,valid,True
455,isc_ehb,10.0,valid,True
455,global_cmt,,missing_sentinel,False
474,waveform,5.0,valid,True
474,isc_ehb,22.0,valid,True
474,global_cmt,,missing_sentinel,False
478,waveform,64.0,valid,True
478,isc_ehb,54.0,valid,True
478,global_cmt,,missing_sentinel,False
648,waveform,22.0,valid,True
648,isc_ehb,40.0,valid,True
648,global_cmt,15.0,valid,True
710,waveform,10.0,valid,True
710,isc_ehb,16.0,valid,True
710,global_cmt,10.0,valid,True
751,waveform,67.0,valid,True
751,isc_ehb,66.0,valid,True
751,global_cmt,65.0,valid,True
774,waveform,11.0,valid,True
774,isc_ehb,11.0,valid,True
774,global_cmt,15.0,valid,True
781,waveform,9.0,valid,True
781,isc_ehb,11.0,valid,True
781,global_cmt,11.0,valid,True
797,waveform,9.0,valid,True
797,isc_ehb,12.0,valid,True
797,global_cmt,10.0,valid,True
842,waveform,38.0,valid,True
842,isc_ehb,41.0,valid,True
842,global_cmt,43.0,valid,True
856,waveform,6.0,valid,True
856,isc_ehb,4.0,valid,True
856,global_cmt,15.0,valid,True
857,waveform,14.0,valid,True
857,isc_ehb,10.0,valid,True
857,global_cmt,,missing_sentinel,False
860,waveform,4.0,valid,True
860,isc_ehb,4.0,valid,True
860,global_cmt,15.0,valid,True
861,waveform,13.0,valid,True
861,isc_ehb,7.0,valid,True
861,global_cmt,15.0,valid,True
862,waveform,2.0,valid,True
862,isc_ehb,10.0,valid,True
862,global_cmt,15.0,valid,True
876,waveform,9.0,valid,True
876,isc_ehb,5.0,valid,True
876,global_cmt,15.0,valid,True
914,waveform,5.0,valid,True
914,isc_ehb,5.0,valid,True
914,global_cmt,15.0,valid,True
921,waveform,7.0,valid,True
921,isc_ehb,11.0,valid,True
921,global_cmt,15.0,valid,True
922,waveform,22.0,valid,True
922,isc_ehb,17.0,valid,True
922,global_cmt,15.0,valid,True
971,waveform,9.0,valid,True
971,isc_ehb,29.0,valid,True
971,global_cmt,33.0,valid,True
973,waveform,14.0,valid,True
973,isc_ehb,9.0,valid,True
973,global_cmt,15.0,valid,True
986,waveform,11.0,valid,True
986,isc_ehb,24.0,valid,True
986,global_cmt,17.6,valid,True
990,waveform,12.0,valid,True
990,isc_ehb,6.0,valid,True
990,global_cmt,15.0,valid,True
995,waveform,6.0,valid,True
995,isc_ehb,17.0,valid,True
995,global_cmt,22.0,valid,True
996,waveform,8.0,valid,True
996,isc_ehb,10.0,valid,True
996,global_cmt,15.0,valid,True
998,waveform,8.0,valid,True
998,isc_ehb,1.0,valid,True
998,global_cmt,15.0,valid,True
1002,waveform,7.0,valid,True
1002,isc_ehb,8.0,valid,True
1002,global_cmt,15.0,valid,True
1005,waveform,8.0,valid,True
1005,isc_ehb,11.0,valid,True
1005,global_cmt,19.0,valid,True
1006,waveform,11.0,valid,True
1006,isc_ehb,46.0,valid,True
1006,global_cmt,15.0,valid,True
1028,waveform,4.0,valid,True
1028,isc_ehb,28.0,valid,True
1028,global_cmt,15.0,valid,True
1032,waveform,7.0,valid,True
1032,isc_ehb,20.0,valid,True
1032,global_cmt,32.0,valid,True
1074,waveform,16.0,valid,True
1074,isc_ehb,16.0,valid,True
1074,global_cmt,15.0,valid,True
1078,waveform,6.0,valid,True
1078,isc_ehb,10.0,valid,True
1078,global_cmt,,missing_sentinel,False
1127,waveform,14.0,valid,True
1127,isc_ehb,9.0,valid,True
1127,global_cmt,15.0,valid,True
1148,waveform,10.0,valid,True
1148,isc_ehb,10.0,valid,True
1148,global_cmt,21.0,valid,True
1204,waveform,4.0,valid,True
1204,isc_ehb,5.0,valid,True
1204,global_cmt,15.0,valid,True
1237,waveform,9.0,valid,True
1237,isc_ehb,11.0,valid,True
1237,global_cmt,15.0,valid,True
1250,waveform,12.0,valid,True
1250,isc_ehb,26.0,valid,True
1250,global_cmt,15.0,valid,True
1258,waveform,85.0,valid,True
1258,isc_ehb,19.0,valid,True
1258,global_cmt,23.0,valid,True
1259,waveform,76.0,valid,True
1259,isc_ehb,23.0,valid,True
1259,global_cmt,19.0,valid,True
1268,waveform,41.0,valid,True
1268,isc_ehb,19.0,valid,True
1268,global_cmt,33.0,valid,True
1270,waveform,11.0,valid,True
1270,isc_ehb,45.0,valid,True
1270,global_cmt,15.0,valid,True
1315,waveform,10.0,valid,True
1315,isc_ehb,2.0,valid,True
1315,global_cmt,15.0,valid,True
1320,waveform,9.0,valid,True
1320,isc_ehb,29.0,valid,True
1320,global_cmt,41.0,valid,True
1420,waveform,11.0,valid,True
1420,isc_ehb,,missing,False
1420,global_cmt,20.0,valid,True
1421,waveform,9.0,valid,True
1421,isc_ehb,17.0,valid,True
1421,global_cmt,17.0,valid,True
1426,waveform,13.0,valid,True
1426,isc_ehb,10.0,valid,True
1426,global_cmt,15.0,valid,True
1432,waveform,10.0,valid,True
1432,isc_ehb,10.0,valid,True
1432,global_cmt,18.0,valid,True
1437,waveform,6.0,valid,True
1437,isc_ehb,13.0,valid,True
1437,global_cmt,19.0,valid,True
1455,waveform,8.0,valid,True
1455,isc_ehb,10.0,valid,True
1455,global_cmt,15.0,valid,True
1471,waveform,16.0,valid,True
1471,isc_ehb,48.0,valid,True
1471,global_cmt,32.0,valid,True
1490,waveform,8.0,valid,True
1490,isc_ehb,10.0,valid,True
1490,global_cmt,15.0,valid,True
1545,waveform,11.0,valid,True
1545,isc_ehb,10.0,valid,True
1545,global_cmt,15.0,valid,True
1555,waveform,9.0,valid,True
1555,isc_ehb,10.0,valid,True
1555,global_cmt,15.0,valid,True
1566,waveform,9.0,valid,True
1566,isc_ehb,12.0,valid,True
1566,global_cmt,15.0,valid,True
1947,waveform,8.0,valid,True
1947,isc_ehb,12.0,valid,True
1947,global_cmt,12.0,valid,True
1962,waveform,18.0,valid,True
1962,isc_ehb,15.0,valid,True
1962,global_cmt,12.0,valid,True
1963,waveform,9.0,valid,True
1963,isc_ehb,10.0,valid,True
1963,global_cmt,12.0,valid,True
1964,waveform,11.0,valid,True
1964,isc_ehb,14.0,valid,True
1964,global_cmt,14.0,valid,True
1967,waveform,7.0,valid,True
1967,isc_ehb,13.0,valid,True
1967,global_cmt,13.0,valid,True
2048,waveform,16.0,valid,True
2048,isc_ehb,18.0,valid,True
2048,global_cmt,18.0,valid,True
2050,waveform,14.0,valid,True
2050,isc_ehb,13.0,valid,True
2050,global_cmt,13.0,valid,True
2051,waveform,14.0,valid,True
2051,isc_ehb,13.0,valid,True
2051,global_cmt,18.0,valid,True
2087,waveform,23.0,valid,True
2087,isc_ehb,22.0,valid,True
2087,global_cmt,24.0,valid,True
2147,waveform,17.0,valid,True
2147,isc_ehb,,missing,False
2147,global_cmt,17.0,valid,True
2157,waveform,12.0,valid,True
2157,isc_ehb,,missing,False
2157,global_cmt,12.0,valid,True
2257,waveform,8.0,valid,True
2257,isc_ehb,10.0,valid,True
2257,global_cmt,15.0,valid,True
2258,waveform,15.0,valid,True
2258,isc_ehb,28.0,valid,True
2258,global_cmt,15.0,valid,True
2259,waveform,11.0,valid,True
2259,isc_ehb,20.0,valid,True
2259,global_cmt,15.0,valid,True
2260,waveform,128.0,valid,True
2260,isc_ehb,133.0,valid,True
2260,global_cmt,137.0,valid,True
2261,waveform,34.0,valid,True
2261,isc_ehb,42.0,valid,True
2261,global_cmt,24.0,valid,True
2262,waveform,20.0,valid,True
2262,isc_ehb,36.0,valid,True
2262,global_cmt,12.0,valid,True
2263,waveform,36.0,valid,True
2263,isc_ehb,25.0,valid,True
2263,global_cmt,21.0,valid,True
2264,waveform,7.0,valid,True
2264,isc_ehb,14.0,valid,True
2264,global_cmt,12.0,valid,True
2265,waveform,44.0,valid,True
2265,isc_ehb,35.0,valid,True
2265,global_cmt,57.0,valid,True
2266,waveform,8.0,valid,True
2266,isc_ehb,19.0,valid,True
2266,global_cmt,19.0,valid,True
2267,waveform,66.0,valid,True
2267,isc_ehb,76.0,valid,True
2267,global_cmt,75.0,valid,True
2268,waveform,31.0,valid,True
2268,isc_ehb,28.0,valid,True
2268,global_cmt,28.0,valid,True
2269,waveform,51.0,valid,True
2269,isc_ehb,71.0,valid,True
2269,global_cmt,71.0,valid,True
2271,waveform,20.0,valid,True
2271,isc_ehb,15.0,valid,True
2271,global_cmt,12.0,valid,True
2272,waveform,18.0,valid,True
2272,isc_ehb,20.0,valid,True
2272,global_cmt,20.0,valid,True
2273,waveform,46.0,valid,True
2273,isc_ehb,62.0,valid,True
2273,global_cmt,52.0,valid,True
2274,waveform,16.0,valid,True
2274,isc_ehb,16.0,valid,True
2274,global_cmt,27.0,valid,True
2275,waveform,19.0,valid,True
2275,isc_ehb,20.0,valid,True
2275,global_cmt,,missing_sentinel,False
2277,waveform,68.0,valid,True
2277,isc_ehb,86.0,valid,True
2277,global_cmt,94.0,valid,True
2280,waveform,70.0,valid,True
2280,isc_ehb,72.0,valid,True
2280,global_cmt,127.0,valid,True
2281,waveform,43.0,valid,True
2281,isc_ehb,45.0,valid,True
2281,global_cmt,58.0,valid,True
2282,waveform,93.0,valid,True
2282,isc_ehb,94.0,valid,True
2282,global_cmt,90.0,valid,True
2286,waveform,48.0,valid,True
2286,isc_ehb,59.0,valid,True
2286,global_cmt,41.0,valid,True
2287,waveform,66.0,valid,True
2287,isc_ehb,84.0,valid,True
2287,global_cmt,85.0,valid,True
2289,waveform,65.0,valid,True
2289,isc_ehb,85.0,valid,True
2289,global_cmt,59.0,valid,True
2290,waveform,43.0,valid,True
2290,isc_ehb,51.0,valid,True
2290,global_cmt,33.0,valid,True
2291,waveform,162.0,valid,True
2291,isc_ehb,162.0,valid,True
2291,global_cmt,151.0,valid,True
2292,waveform,94.0,valid,True
2292,isc_ehb,95.0,valid,True
2292,global_cmt,110.0,valid,True
2294,waveform,27.0,valid,True
2294,isc_ehb,48.0,valid,True
2294,global_cmt,33.0,valid,True
2299,waveform,43.0,valid,True
2299,isc_ehb,48.0,valid,True
2299,global_cmt,59.0,valid,True
2303,waveform,21.0,valid,True
2303,isc_ehb,16.0,valid,True
2303,global_cmt,33.0,valid,True
2304,waveform,16.0,valid,True
2304,isc_ehb,9.0,valid,True
2304,global_cmt,15.0,valid,True
2307,waveform,17.0,valid,True
2307,isc_ehb,33.0,valid,True
2307,global_cmt,25.0,valid,True
2343,waveform,7.0,valid,True
2343,isc_ehb,,missing,False
2343,global_cmt,12.0,valid,True
